px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.86812	-11.0521	-2.62863	1.67469	-0.413939	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.071318
9.88842	-11.1877	-2.74454	1.67715	-0.343086	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.232073
9.87661	-11.3386	-2.79076	1.628	-0.399499	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.0872731
9.88812	-11.4845	-2.86614	1.62187	-0.355887	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.129552
9.87015	-11.6361	-2.90187	1.57668	-0.403636	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.0998534
9.78987	-11.7501	-2.33439	1.37791	-0.925326	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	7.43474
9.76076	-11.8589	-2.3287	1.33022	-0.927477	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.018598
9.76182	-11.9777	-2.49812	1.373	-0.670425	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	1.37173
9.69907	-12.1231	-2.6003	1.29797	-0.739536	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.222884
9.63748	-12.2426	-2.48484	1.19245	-0.940112	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	1.08413
9.5749	-12.3583	-2.51069	1.1322	-0.96161	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.0485267
9.46475	-12.454	-2.39239	0.951034	-1.33683	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	2.24871
9.38006	-12.5518	-2.42421	0.873871	-1.35261	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.0254886
9.3445	-12.6546	-2.37701	0.925598	-0.995987	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	1.57815
9.24743	-12.7623	-2.42541	0.86057	-1.00877	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.0474651
9.09848	-12.8133	-2.30716	0.587769	-1.69666	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	7.78362
8.93235	-12.9123	-2.56264	0.471222	-1.73469	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	0.777923
8.82984	-12.9702	-2.44177	0.427951	-1.5703	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	0.455731
8.68888	-13.031	-2.50655	0.341275	-1.56196	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0.0601163
8.56601	-13.0727	-2.5321	0.261709	-1.57074	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	0.084452
8.40741	-13.1248	-2.66868	0.194148	-1.53358	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0.264143
8.23982	-13.136	-2.83162	0.058944	-1.70658	8.22926	-13.1698	8.2	-13.15	-2.72741	0	0.625995
8.0656	-13.1486	-2.89893	-0.0270349	-1.68473	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0.0666261
7.92878	-13.1495	-2.67881	-0.0776042	-1.52517	7.82914	-13.0525	7.9	-13.15	-2.72986	0	0.915043
7.77276	-13.1443	-2.71651	-0.149938	-1.50192	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.0336509
7.70687	-13.1812	-1.97175	-0.090978	-1.02565	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	8.41804
7.5402	-13.211	-2.17785	-0.0815699	-0.898969	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0.808259
7.40457	-13.1873	-2.30733	-0.15485	-0.974499	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.661483
7.22572	-13.199	-2.47027	-0.153864	-0.869953	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.475854
7.07648	-13.1236	-2.86714	-0.317937	-1.22965	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	3.80755
6.89693	-13.1057	-2.99884	-0.330144	-1.13914	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.339125
6.7495	-13.0712	-2.88879	-0.359412	-1.04893	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.502077
6.57737	-13.0334	-2.95656	-0.385045	-0.991281	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.122328
6.44785	-13.0342	-2.43487	-0.325602	-0.638363	6.40137	-13.0799	6.4	-13.05	-2.72678	0	4.16843
6.28922	-13.0147	-2.51717	-0.320385	-0.566624	6.26174	-13.0534	6.25	-13.05	-2.72678	0	0.179381
6.15345	-12.9665	-2.59188	-0.36223	-0.606423	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	0.0968181
